する 	で 
泣く 	て 

始める 	という 

捕える 	て 
煮る 	という 

する 	が 

落ちつく 	が 
見る 	という 

思う 	が 

する 	が 

出会う 	が 

のむ 	て 

飲む 	という 

坐る 	が 

動く 	か 
動く 	が 

助かる 	て と 
さる 	て 

付く 	と 

おる 	が 

這い出す 	と 

する 	と 

泣く 	て か と 

やる 	が 

ある 	まで 

する 	て と 

這入る 	と 
なる 	て 
崩れる 	から 

破れる 	かも 

する 	の 

降る 	で 

見る 	に 

思う 	て 
ねぶる 	て 

投げ出す 	て 
繰り返す 	て 

云う 	は 

する 	て から 

つまみ出す 	に 
いう 	て 

ぶら下げる 	て も 
向ける 	て も 
出す 	て も 
出す 	と 
上る 	と 

撚る 	て 
眺める 	が 
おる 	て 
置く 	て 

聞く 	と 

極める 	に 

合せる 	が 

這入る 	て 
出る 	が 

いう 	で は 

覗く 	が 
する 	が 

読みかける 	の 

帯びる 	て 

食う 	で 

飲む 	で 

考える 	が 

生れる 	に 

出来る 	は 

来る 	に 

住み込む 	は 

行く 	て 
跳ねる 	て 

至る 	て も 

入れる 	の 
いる 	を 

読む 	は 

する 	は 

構う 	から 

寝る 	と 

見出す 	が 

来る 	が 
来る 	て 

さます 	て 

する 	ば 
する 	ほど 

する 	の 

する 	たり 
かぶせる 	たり 
抛り出す 	だり 

する 	の 
逢う 	に 

行く 	て 

する 	ば と 
戦う 	ば と 

隣る 	など は 
解す 	て 
いう 	て 

見付ける 	が 
食う 	が 
ある 	と 

守る 	くらい の 
訴える 	くらい の 

見付ける 	は 

食う 	を 
奪う 	て 

おりる 	て 

栄える 	も 

する 	を 

いう 	て 
出来る 	も 

やる 	たり 
する 	たり 
出す 	たり 
かく 	たり が 
よる 	たり が 
凝る 	たり 
ある 	は 

吹き出す 	くらい 

なる 	か 
ある 	の 
提げる 	て 

買う 	と 

する 	て 

上げる 	を 
かく 	やら 

思う 	か 
やる 	が 
来る 	に 

かける 	ね 

見る 	が 
とる 	と 

見る 	は 
かける 	は 
かける 	の 

言う 	が 

いう 	が 

嘲る 	が 

出る 	て 
する 	て 
出る 	て 

覚める 	て か と 
する 	と 
あける 	と 
見る 	で 

見る 	を 

せる 	として 

執る 	て は 
動く 	と 

かく 	て 

いう 	と 
いう 	と は 

描き出す 	と は 

含める 	に 

疑う 	と 

見る 	で も 
交ぜる 	で も 

寝る 	を 
見える 	て 
寝る 	か 

動く 	て と 
におう 	が 
思う 	て 

出来る 	と 
やむをえる 	て 
する 	て 

なる 	と 

打つ 	から 
行く 	と 
足す 	て 

掻く 	を 

罵る 	は 

知る 	が 
する 	の 
知る 	と 

乗る 	に 
する 	が 
甘んじる 	が 
なる 	は 
する 	も 

出る 	て て は 

悲しむ 	を 
する 	が 

出来る 	や 
出る 	が 

嗅ぐ 	と 
くる 	て 
押し倒す 	て 

心付く 	も 
する 	て 

睡る 	か と 

過ぎる 	は 
抛る 	て 
する 	の 
見える 	で も 

云う 	ほど の 

忘れる 	て 
する 	て と 
出る 	の 

する 	という 

射る 	を 

する 	と 
する 	て ので 

する 	と 

せる 	で 

いる 	と 

切る 	て 
する 	を 
食う 	て 

云う 	と 

聞く 	と 

試す 	て 

見る 	ばかり ぜ 

いる 	と 
食える 	ね 

たつ 	に 
見違える 	ぜ 

願う 	に 

たつ 	に 
足す 	か 

障る 	で 
そぐ 	を 
する 	て 

